2	USA	1950	1633152.7308744	5.53806628547774
2	USA	1951	1735290.3207604	5.10507402287064
2	USA	1952	1789163.8140453	4.98331345261763
2	USA	1953	1862961.0434631	4.92803089853028
2	USA	1954	1847383.3541916	4.8958598049377
2	USA	1955	1993832.1955176	4.83051586516527
2	USA	1956	2034698.9771836	4.68939790882999
2	USA	1957	2062080.7118544	4.51501139890888
2	USA	1958	2037719.0046062	4.38159008144578
2	USA	1959	2162245.4186988	4.30513601579333
2	USA	1960	2217728.299864	4.24894579043214
2	USA	1961	2263316.176265	4.19693655757923
2	USA	1962	2405877.0043154	4.15234485689997
2	USA	1963	2519210.6664165	4.11722435494897
2	USA	1964	2673434.6110416	4.06305018696877
2	USA	1965	2853976.8440778	3.99134362676219
2	USA	1966	3026956.8601336	3.86701795011541
2	USA	1967	3087333.3574112	3.74760134426048
2	USA	1968	3240115.9355096	3.59992149200869
2	USA	1969	3349892.4226425	3.43551720123406
2	USA	1970	3353498.42727	3.27010941409164
2	USA	1971	3494654.66888	3.13675317242678
2	USA	1972	3712564.71872	3.03165487851288
2	USA	1973	3956966.83109	2.88977405344832
2	USA	1974	3966860.33186	2.67236475036601
2	USA	1975	3896573.69568	2.40856448260256
2	USA	1976	4157715.81302	2.30306006453304
2	USA	1977	4406053.15836	2.1902149453192
2	USA	1978	4676130.68406	2.05544296340369
2	USA	1979	4847738.74816	1.90518385358241
2	USA	1980	4858657.18204	1.75307818276086
2	USA	1981	4983357.92816	1.60520427698454
2	USA	1982	4820573.98494	1.49313163891223
2	USA	1983	5029566.13544	1.43619806739687
2	USA	1984	5450448.99222	1.39877028543695
2	USA	1985	5634391.80714	1.3495549792057
2	USA	1986	5817803.81312	1.31866151178097
2	USA	1987	6030092.26828	1.28332577919202
2	USA	1988	6275402.00811	1.23970811499568
2	USA	1989	6501068.12978	1.19511492985238
2	USA	1990	6613952.30142	1.15009248009667
2	USA	1991	6543808.73184	1.10339750169038
2	USA	1992	6765293.4461	1.08039001995292
2	USA	1993	6957550.35949	1.05691261242116
2	USA	1994	7265437.21104	1.03889898383103
2	USA	1995	7473604.02678	1.01842414317732
2	USA	1996	7751099.88064	1
2	USA	1997	8093637.67958	0.980274590685581
2	USA	1998	8411888.9696	0.964644018542863
2	USA	1999	8770788.1884	0.952621689586331
2	USA	2000	9169655.18477	0.934706152700255
20	CAN	1950	125052.749766	5.67458014266724
20	CAN	1951	131578.423522	5.25221821221415
20	CAN	1952	141116.607492	5.03782725639455
20	CAN	1953	147442.650243	5.03017529194085
20	CAN	1954	144455.462004	5.00005308419153
20	CAN	1955	156616.9245774	4.92713117675008
20	CAN	1956	171551.0104315	4.80942003101729
20	CAN	1957	173804.666912	4.65888837399968
20	CAN	1958	175303.14369	4.51737309505537
20	CAN	1959	182573.3920458	4.43404789247586
20	CAN	1960	185958.45968	4.38003079324236
20	CAN	1961	189707.97571	4.33212057995202
20	CAN	1962	203140.53848	4.29450305560693
20	CAN	1963	214095.9744	4.25654811502513
20	CAN	1964	229091.691	4.19466903504085
20	CAN	1965	244874.9998	4.13001271120345
20	CAN	1966	260932.93968	4.00868855488481
20	CAN	1967	266098.79268	3.89219166589538
20	CAN	1968	279861.66024	3.76024917429658
20	CAN	1969	295483.98404	3.60788799367358
20	CAN	1970	300709.9818	3.42394194185931
20	CAN	1971	318472.192479	3.29537996545769
20	CAN	1972	336643.160308	3.17845926628331
20	CAN	1973	363193.217506	2.99219630255589
20	CAN	1974	379826.916696	2.69907469687368
20	CAN	1975	385005.716835	2.46261255460277
20	CAN	1976	407996.738754	2.33742053533524
20	CAN	1977	419054.622389	2.22686021060701
20	CAN	1978	436657.15032	2.10075480790848
20	CAN	1979	460225.888914	1.92108408235179
20	CAN	1980	465428.471535	1.72056912293295
20	CAN	1981	485168.826472	1.5745912117885
20	CAN	1982	461076.093016	1.4700442931081
20	CAN	1983	476421.93939	1.41679025719402
20	CAN	1984	508965.390256	1.38379126540752
20	CAN	1985	534943.370556	1.34369206561872
20	CAN	1986	548195.599908	1.3230307936038
20	CAN	1987	574806.58181	1.27522650455356
20	CAN	1988	606474.203181	1.22558066111075
20	CAN	1989	623080.104138	1.17577586566439
20	CAN	1990	619108.189775	1.1371783110449
20	CAN	1991	601543.114	1.10106787165017
20	CAN	1992	604793.736035	1.08445914144655
20	CAN	1993	620224.334637	1.06906854460466
20	CAN	1994	653606.74792	1.05432359783592
20	CAN	1995	673578.366059	1.02209046780391
20	CAN	1996	685149.688834	1
20	CAN	1997	722088.15948	0.986388839733381
20	CAN	1998	749929.28712	0.993926441387754
20	CAN	1999	789688.80834	0.978002904849195
20	CAN	2000	827313.375	0.936437656039587
31	BHM	1973	2069.66033	2.97617280453258
31	BHM	1974	2069.66033	2.73093059526904
31	BHM	1975	2069.66033	2.4978340466001
31	BHM	1976	2069.66033	2.36406165616562
31	BHM	1977	2069.66033	2.34558830096004
31	BHM	1978	2383.62282	2.2558151036713
31	BHM	1979	3111.30246	2.05768528610354
31	BHM	1980	3221.5869	1.87816968658178
31	BHM	1981	2923.14584	1.65771359223301
31	BHM	1982	3064.84806	1.57244269662921
31	BHM	1983	3160.05088	1.49616820447555
31	BHM	1984	3760.1113	1.44973512272647
31	BHM	1985	3905.07736	1.35700016123831
31	BHM	1986	3997.70548	1.32029851909587
31	BHM	1987	4109.1048	1.27343027147639
31	BHM	1988	4176.6699681	1.23701106074343
31	BHM	1989	4243.5898518	1.20235739561217
31	BHM	1990	4309.8644511	1.16934392813958
31	BHM	1991	4375.493766	1.13785690178873
